Hole Depth,True Vertical Depth,Rate Of Penetration,Convertible Torque,YYYY/MM/DD,HH:MM:SS,Memos
3450.00,3100.9,98.94,10268,2021/11/09,12:29:28,
3460.00,3101.5,93.55,13056,2021/11/09,12:36:34,
3470.00,3102.1,86.59,10864,2021/11/09,12:43:47,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired
3480.00,3102.7,76.83,5912,2021/11/09,13:19:15,XFER TANK 7 TO FRAC
3490.00,3103.4,82.01,10325,2021/11/09,13:27:07,XFER ACT TO FRAC,XFER FROM ACT COMPLETE,PVT: Volume Alarm snooze Started XFERCOMPLETE
3500.00,3104.1,79.47,10230,2021/11/09,13:39:57,PVT: Volume Alarm snooze Expired XFER FROM TRUCK TO TANK 7,XFER COMPLETE
3510.00,3104.8,76.54,10254,2021/11/09,13:55:09,XFER FROM DRILLCOOL TO TANK 7
3520.00,3105.7,76.46,10500,2021/11/09,14:03:09,
3530.00,3106.6,76.69,10233,2021/11/09,14:16:58,
3540.00,3107.5,79.20,10219,2021/11/09,14:25:06,GEARS RECALIBRATED
3550.00,3108.6,75.35,10659,2021/11/09,14:33:45,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired
3560.00,3109.7,72.46,9735,2021/11/09,14:54:13,XFER FROM DRILLCOOL COMPLETE,ZDIFF FROM Rig Display Drilling
3570.00,3110.7,73.59,7320,2021/11/09,15:19:44,
3580.00,3111.6,72.59,10663,2021/11/09,15:28:48,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
3590.00,3112.4,62.73,9461,2021/11/09,15:53:29,ZWOB FROM Rig Display Drilling
3600.00,3113.1,57.53,7105,2021/11/09,16:33:26,
3610.00,3113.7,69.03,9116,2021/11/09,17:04:41,RIG SERVICE,RIG SERVICE,ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired
3620.00,3114.2,76.58,11542,2021/11/09,17:51:45,
3630.00,3114.7,86.47,12093,2021/11/09,17:59:48,
3640.00,3115.2,76.41,12109,2021/11/09,18:07:57,PVT: Volume Alarm snooze Started,CHECK C.O.M,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
3650.00,3115.6,76.43,9354,2021/11/09,18:35:40,
3660.00,3116.0,81.59,11320,2021/11/09,18:51:04,
3670.00,3116.4,80.63,13165,2021/11/09,18:58:57,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired
3680.00,3116.8,70.50,10003,2021/11/09,19:25:00,
3690.00,3117.1,62.08,12089,2021/11/09,19:40:38,
3700.00,3117.4,68.87,12875,2021/11/09,19:49:53,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
3710.00,3117.8,68.64,12491,2021/11/09,20:08:03,
3720.00,3118.0,70.60,12993,2021/11/09,20:16:39,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
3730.00,3118.2,70.77,12699,2021/11/09,20:33:56,ZWOB FROM Rig Display Drilling
3740.00,3118.4,66.28,12610,2021/11/09,20:51:22,
3750.00,3118.6,66.78,12728,2021/11/09,21:00:46,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
3760.00,3118.9,64.44,11572,2021/11/09,21:20:18,ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
3770.00,3119.3,67.66,10009,2021/11/09,22:34:18,
3780.00,3119.8,54.71,10732,2021/11/09,22:48:16,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
3790.00,3120.3,62.21,10254,2021/11/09,23:30:19,
3800.00,3120.8,80.08,11785,2021/11/09,23:38:10,
3810.00,3121.4,80.88,12223,2021/11/09,23:45:44,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired
3820.00,3122.0,79.68,10428,2021/11/10,00:12:55,
3830.00,3122.6,70.12,10221,2021/11/10,00:34:05,
3840.00,3123.1,81.49,12293,2021/11/10,00:41:33,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
3850.00,3123.7,81.29,11719,2021/11/10,00:58:56,
3860.00,3124.3,80.98,12388,2021/11/10,01:06:36,
3870.00,3124.9,79.55,12388,2021/11/10,01:14:50,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,IN TALLY: HOLE DEPTH SET TO 12718.3
3880.00,3125.5,75.38,10077,2021/11/10,01:51:51,
3890.00,3126.1,79.65,12702,2021/11/10,02:04:36,
3900.00,3126.7,79.85,13048,2021/11/10,02:12:31,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
3910.00,3127.3,70.79,8014,2021/11/10,02:45:27,
3920.00,3127.8,61.46,11324,2021/11/10,03:00:06,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired
3930.00,3128.2,54.76,11047,2021/11/10,03:18:03,ZDIFF FROM Rig Display Drilling WHILE ON BOTTOM
3940.00,3128.6,62.03,8340,2021/11/10,03:45:24,
3950.00,3128.9,81.43,12618,2021/11/10,03:53:49,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
3960.00,3129.1,81.36,12205,2021/11/10,04:08:51,
3970.00,3129.3,79.75,12461,2021/11/10,04:16:46,
3980.00,3129.5,82.72,12801,2021/11/10,04:24:12,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
3990.00,3129.7,88.80,11373,2021/11/10,04:52:14,
4000.00,3130.0,46.36,11244,2021/11/10,05:38:06,
4010.00,3130.2,61.05,11585,2021/11/10,05:50:24,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired
4020.00,3130.5,56.54,10550,2021/11/10,06:16:18,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4030.00,3130.9,61.42,11333,2021/11/10,07:00:32,
4040.00,3131.4,61.55,12519,2021/11/10,07:10:20,PVT: Volume Alarm snooze Started,CHECK C.O.M,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,RECYCLE PUMPS MWD,RECYCLE PUMPS MWD,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4050.00,3131.8,61.50,10554,2021/11/10,08:05:32,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4060.00,3132.5,58.93,11405,2021/11/10,08:33:28,
4070.00,3133.3,63.76,13187,2021/11/10,08:43:14,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4080.00,3134.1,63.74,10679,2021/11/10,09:19:42,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4090.00,3135.0,62.43,12994,2021/11/10,09:37:34,
4100.00,3135.9,62.85,13828,2021/11/10,09:47:16,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4110.00,3136.8,53.75,12931,2021/11/10,10:08:41,
4120.00,3137.7,51.79,12988,2021/11/10,10:20:39,
4130.00,3138.6,54.71,13083,2021/11/10,10:32:17,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired,RECYCLE PUMPS MWD,RECYCLE PUMPS MWD,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4140.00,3139.4,50.28,13021,2021/11/10,11:07:35,
4150.00,3140.2,49.78,13217,2021/11/10,11:19:52,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4160.00,3141.0,48.10,12427,2021/11/10,11:43:42,
4170.00,3141.8,67.73,13116,2021/11/10,11:54:40,
4180.00,3142.5,67.66,14318,2021/11/10,12:03:34,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4190.00,3143.3,67.58,14207,2021/11/10,12:28:30,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4200.00,3144.0,66.00,12403,2021/11/10,12:53:00,
4210.00,3144.7,66.07,14665,2021/11/10,13:02:22,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,RECYCLE PUMPS MWD,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4220.00,3145.5,62.23,13522,2021/11/10,13:29:40,
4230.00,3146.2,70.78,13654,2021/11/10,13:39:10,
4240.00,3146.9,71.56,14557,2021/11/10,13:47:37,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4250.00,3147.6,70.81,13779,2021/11/10,14:06:13,
4260.00,3148.2,71.30,13831,2021/11/10,14:14:42,
4270.00,3148.8,71.28,14089,2021/11/10,14:23:11,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4280.00,3149.4,70.67,11637,2021/11/10,15:00:59,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4290.00,3149.9,71.89,14377,2021/11/10,15:22:05,
4300.00,3150.3,67.35,15503,2021/11/10,15:31:03,RIG SERVICE,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired
4310.00,3150.7,67.41,14451,2021/11/10,16:47:11,
4320.00,3151.1,67.16,14791,2021/11/10,16:56:17,XFER OBM FROM FRAC TO TANK 7,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4330.00,3151.4,67.51,14515,2021/11/10,17:13:48,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,RECYCLE PUMPS MWD,PREFORM EVACUATION DRILL,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4340.00,3151.7,67.03,13462,2021/11/10,17:43:44,
4350.00,3152.2,70.22,14972,2021/11/10,17:52:23,PVT: Volume Alarm snooze Started,COM OK,PUMP 15 BBLS ON BACK SIDE,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4360.00,3152.7,70.10,15384,2021/11/10,18:20:44,
4370.00,3153.2,64.19,10816,2021/11/10,18:55:04,
4380.00,3153.8,69.75,14866,2021/11/10,19:07:44,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4390.00,3154.4,69.84,15080,2021/11/10,19:23:37,
4400.00,3154.9,62.18,15370,2021/11/10,19:33:20,
4410.00,3155.5,61.59,15337,2021/11/10,19:43:07,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired
4420.00,3156.0,61.45,14462,2021/11/10,20:01:05,
4430.00,3156.6,125.23,11630,2021/11/10,20:42:02,
4440.00,3157.3,61.55,14371,2021/11/10,20:51:50,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,IN TALLY: HOLE DEPTH SET TO 14603.9
4450.00,3158.0,67.73,14397,2021/11/10,21:11:32,
4460.00,3158.9,61.46,11726,2021/11/10,21:44:24,
4470.00,3159.7,61.53,15321,2021/11/10,21:54:11,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4480.00,3160.6,65.85,15498,2021/11/10,22:12:32,
4490.00,3161.5,62.18,14981,2021/11/10,22:22:18,
4500.00,3162.4,69.32,14406,2021/11/10,22:31:46,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired
4510.00,3163.3,69.15,15102,2021/11/10,22:48:50,
4520.00,3164.2,69.47,15610,2021/11/10,22:57:54,
4530.00,3165.2,61.40,14968,2021/11/10,23:07:47,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PERFORM EVACUATION DRILL @ 02:30 AM,PVT: Volume Alarm snooze Started,TROUBLE SHOOT MWD TOOL,PVT: Volume Alarm snooze Expired,PUMP OUT TRIP TANK,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Started,CHECK C.O.M,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,XFER FROM FRAC TO TANK 7,XFER COMPLETE,Well Control Drill Started: GAIN on (Flow),Well Control Drill Stopped,BOP PIT DRILL,NO FLOW CHECK TOUR CHANGE WELL SHUT IN,TRANSFER MUD FROM FRAC TANK TO TANK 7,9.5,TRANSFER COMPLETE,9.4,9.4,9.4,9.4,NO FLOW CHECK @ SHOE @ 9774' WELL SHUT IN,PUMP 30 BBLS KILL MUD ON BACK SIDE,PERFORM TRIP DRILL 1920,Well Control Drill Started: GAIN on (Flow),Well Control Drill Stopped,FLOW CHECK NO FLOW,9.4,TRANSFER FROM FRAC TANK TO TANK 7,TRANSFER COMPLETE,9.4,9.5,9.4,9.4,9.4,9.5,TRANSFER FROM FRAC TANK TO TANK 7,TRANSFER COMPLETE,9.4,9.4,9.4,9.4,TRANSFER FROM FRAC TANK TO TANK 7,9.5,TRANSFER COMPLETE,9.4,9.4,PUMP 50 BBLS KILL MUD,FLOW CHECK,NO FLOW,REMOVE ROT HEAD & INSTALL TRIP NIPPLE.,L/D AGGITATOR PUMP OUT TT,9.4,9.4,TRANSFER FROM FRAC TANK TO TANK 7,TRANSFER ROM FRC TANK TO TANKS 6 & 5,9.5,9.4 TRANSFER COMPLETE,9.5,PUMP 15 BBLS KILL MUD,TRANSFER FROM FRAC TANK TO TANKS 5 & 6,FLOW CHECK,NO FLOW,TRANFER FROM FRAC TANK TO TANKS 5 & 6,TRANSFER COMPLETE,FLOW CHECK @ BHA 132' @ 0100 NO FLOW,CLEAN RIG FLOOR,1.2,3.6,FLOW CHECK BEFORE INSTALL ROT HEAD,REMOVE TRIP NIPPLE INSTALL ROT HEAD,RIG SERVICE,BIT DEPTH CHANGED TO 1794.0 FEET,FILL PIPE,PRESSURE TEST BEFORE AND AFTER AGITATOR,P/UP AGITATOR,BIT DEPTH CHANGED TO 2808.0 FEET,FLOW CHECK  AT TOUR CHANGE,NO FLOW,CHECK C.O.M,FILL PIPE,P/U AGITATOR,FILL PIPE,BIT DEPTH CHANGED TO 9632.0 FEET,SLIP AND CUT DRILLING LINE,CHECK C.O.M,STRING WEIGHT MANUALLY CHANGED FROM Rig Display Drilling,CHANGE OUT ROTATING HEAD,HOOKLOAD WAS RECALIBRATED,FILL PIPE,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Started,BIT DEPTH CHANGED TO 14627.0 FEET,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,TRANSFER FROM FRAC TANK TO TANKS 5 & 6,TRANSFER COMPLETE,HOLE DEPTH CHANGED TO 14900.0 FEET,NO FLOW CHECK WELL SHUT IN,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,9.5,9.5,TRANSFER FROM FRAC TANK TO TANK 7,9.5,TRANSFER COMPLETE,9.5,9.5,9.5,9.5,TRANSFER FROM FRAC TANK TO TANK 7,TRANSFER COMPLETE,9.5,9.5,9.5,TRANSFER FROM FRAC TANK TO TANK 7,PUMP KILL MUD ON BACK SIDE.,NO FLOW CHECK AT TOUR CHANGE DUE TO WELL SHUT IN,9.4,9.2,9.3,9.4,XFER FROM FRAC TO TANK 7,9.4,XFER COMPLETE,9.4,XFER FROM FRAC TO TANK 5&6,9.4,XFER COMPLETE,9.4,L/D AGITATOR,9.4,9.4,XFER FROM FRAC TO TANK 7,9.4,XFER COMPLETE,9.4,9.4,9.4,PUMP 50 BBLS OF 17.2 KILL MUD,FLOW CHECK BEFORE REMOVING ROTATING HEAD,NO FLOW,REMOVE ROTATING HEAD,LAYDOWN AGITATOR,9.4,9.4,9.4,9.4,9.4 XFER FROM FRAC TO TANK 7,XFER FROM FRAC TO TANK 5&6,XFER COMPLETE,FLOW CHECK AT BHA,NO FLOW,TEST MWD TOOL,FLOW CHECK,FLOW CHECK BEFORE INSTALLING ROTATING HEAD,NO FLOW,INSTALL ROTATING HEAD,CHECK C.O.M,BIT DEPTH CHANGED TO 2451.0 FEET,FILL PIPE,P/U AGITATOR,FILL PIPE,P/U AGITATOR,NO FLOW CHECK @ TOUR CHANGE WELL SHUT IN,COM OK,FILL PIPE,RIG SERVICE,HOOKLOAD WAS RECALIBRATED,BIT DEPTH CHANGED TO 11142.0 FEET,FILL PIPE,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,BIT DEPTH CHANGED TO 14879.0 FEET,ZDIFF FROM DHC,PUMP KILL MUD BACK SIDE,TRANSFER FROM FRAC TANK TO TANKS 5 & 6,TRANSFER COMPLETE,ZDIFF FROM DHC,PUMP KILL MUD BACK SIDE,PERFORM DRILL RESCUE FROM HEIGHTS @ 3:30
4540.00,3166.1,61.93,10959,2021/11/14,03:32:34,ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling WHILE ON BOTTOM,XFER FROM FRAC TO TANKS 5&6,XFER COMPLETE,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4550.00,3167.5,22.78,9158,2021/11/14,12:15:40,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4560.00,3168.1,22.97,13958,2021/11/14,13:16:56,XFER FROM FRAC TO TANK 7,XFER COMPLETE,PVT: Volume Alarm snooze Started,ADDING BARITE TO PIT 7,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4570.00,3168.7,25.37,15310,2021/11/14,13:59:37,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,XFER FROM TANK 7 TO FRAC,XFER FROM FRAC TO TANK 7
4580.00,3169.3,25.27,15749,2021/11/14,14:38:34,XFER COMPLETE,ADDING BARITE TO TANK 7
4590.00,3169.9,22.90,15143,2021/11/14,15:06:49,PVT: Volume Alarm snooze Started,CHECK C.O.M,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,XFER TANK 7 TO FRAC
4600.00,3170.5,22.11,14470,2021/11/14,15:55:37,XFER COMPLETE,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4610.00,3171.2,28.96,13317,2021/11/14,16:50:59,
4620.00,3171.7,26.83,16421,2021/11/14,17:15:24,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4630.00,3172.2,25.64,16184,2021/11/14,17:50:15,
4640.00,3172.9,36.96,19080,2021/11/14,18:11:46,
4650.00,3173.3,36.83,20460,2021/11/14,18:31:17,PVT: Volume Alarm snooze Started,COM OK,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired
4660.00,3173.7,63.36,18449,2021/11/14,18:58:05,
4670.00,3174.1,33.74,17171,2021/11/14,19:46:22,
4680.00,3174.5,35.85,21331,2021/11/14,20:03:39,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired
4690.00,3174.9,37.29,19827,2021/11/14,20:27:10,
4700.00,3175.3,37.74,20647,2021/11/14,20:43:17,
4710.00,3175.7,37.74,20808,2021/11/14,20:59:46,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired
4720.00,3176.1,35.20,16228,2021/11/14,21:40:53,
4730.00,3176.3,35.83,17841,2021/11/14,22:22:34,
4740.00,3176.8,38.44,20889,2021/11/14,22:39:03,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired
4750.00,3177.4,38.44,17476,2021/11/14,23:23:38,
4760.00,3177.8,37.54,20179,2021/11/14,23:51:43,
4770.00,3178.4,34.65,21248,2021/11/15,00:11:07,RIG SERVICE,PUMP KILL MUD BACK SIDE,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired
4780.00,3179.4,37.13,17602,2021/11/15,01:33:12,
4790.00,3179.9,39.27,19458,2021/11/15,01:49:23,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4800.00,3180.3,39.30,19476,2021/11/15,02:12:33,PVT: Volume Alarm snooze Expired
4810.00,3180.8,39.97,14642,2021/11/15,02:59:57,
4820.00,3181.2,40.20,19384,2021/11/15,03:42:38,DIFF PRESS ZERO POINT MANUALLY CHANGED FROM DHC WHILE ON BOTTOM,ZDIFF FROM DHC WHILE ON BOTTOM,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired,PVT: Volume Alarm snooze Started,TRANSFER FROM FRAC TANK TO TANKS 5 & 6,ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling,PVT: Volume Alarm snooze Expired,TROUBLE SHOOT MWD TOOL,TRANSFER COMPLETE,PUMP OUT TRIP TANK
4830.00,3181.7,40.10,17609,2021/11/15,04:43:49,
4840.00,3182.2,40.12,13305,2021/11/15,05:36:56,
4850.00,3182.7,38.97,18995,2021/11/15,05:52:49,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4860.00,3183.3,38.88,16433,2021/11/15,06:35:54,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4870.00,3183.8,39.33,15370,2021/11/15,07:18:16,
4880.00,3184.4,39.20,19303,2021/11/15,07:34:07,PVT: Volume Alarm snooze Started,CHECK C.O.M,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,RECYCLE PUMPS MWD
4890.00,3185.0,38.62,18944,2021/11/15,08:18:28,
4900.00,3185.6,37.47,18000,2021/11/15,08:36:10,
4910.00,3186.2,36.93,17989,2021/11/15,08:53:11,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4920.00,3186.9,37.03,15366,2021/11/15,09:44:53,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4930.00,3187.5,38.64,15876,2021/11/15,10:25:39,
4940.00,3188.1,38.67,18942,2021/11/15,10:42:03,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling
4950.00,3188.7,38.22,15685,2021/11/15,11:39:55,
4960.00,3189.1,37.69,18898,2021/11/15,11:57:02,
4970.00,3189.5,38.52,18870,2021/11/15,12:12:59,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
4980.00,3189.9,34.67,19598,2021/11/15,12:44:20,
4990.00,3190.3,27.98,18629,2021/11/15,13:11:52,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
5000.00,3190.6,30.45,19023,2021/11/15,13:54:00,PUMP SWEEP,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
